Date,Open,High,Low,Close,Change(Pips),Change(%)
12/31/2024 00:00,2606.7,2607.27,2604.96,2606.92,22,0.01,
12/30/2024 23:30,2604.62,2607.2,2604.51,2606.69,207,0.08,
12/30/2024 23:00,2606.02,2606.61,2603.72,2604.58,-144,-0.06,
12/30/2024 21:30,2607.87,2608,2605.58,2605.9,-197,-0.08,
12/30/2024 21:00,2607.84,2608.05,2606.75,2607.87,3,0.00,
12/30/2024 20:30,2608.13,2609.38,2607.34,2607.59,-54,-0.02,
12/30/2024 20:00,2607.16,2609.55,2606.41,2608.14,98,0.04,
12/30/2024 19:30,2604.3,2608.32,2604.16,2607.12,282,0.11,
12/30/2024 19:00,2606.19,2606.56,2603.54,2604.27,-192,-0.07,
12/30/2024 18:30,2604.97,2606.72,2603.4,2606.01,104,0.04,
12/30/2024 18:00,2605.23,2606.48,2603.73,2604.97,-26,-0.01,
12/30/2024 17:30,2603.07,2605.45,2601.3,2605.17,210,0.08,
12/30/2024 17:00,2599.93,2603.97,2599.93,2603.07,314,0.12,
12/30/2024 16:30,2596.58,2600.78,2596.58,2599.85,327,0.13,
12/30/2024 16:00,2601.52,2602.87,2596.14,2596.44,-508,-0.20,
12/30/2024 15:30,2602.68,2604.54,2599.72,2601.48,-120,-0.05,
12/30/2024 15:00,2611.63,2611.63,2600.76,2602.87,-876,-0.34,
12/30/2024 14:30,2612.24,2612.24,2605.54,2611.5,-74,-0.03,
12/30/2024 14:00,2606.64,2613.84,2605.35,2612.29,565,0.22,
12/30/2024 13:30,2621.69,2622.19,2606.41,2606.56,-1513,-0.58,
12/30/2024 13:00,2621.35,2622.56,2618.09,2621.82,47,0.02,
12/30/2024 12:30,2618.49,2622.41,2617.39,2621.53,304,0.12,
12/30/2024 12:00,2616.23,2618.44,2615.42,2618.36,213,0.08,
12/30/2024 11:30,2616.02,2618.77,2614.42,2616.26,24,0.01,
12/30/2024 11:00,2610.64,2616.59,2609.11,2616.09,545,0.21,
12/30/2024 10:30,2614.2,2614.57,2610.55,2610.57,-363,-0.14,
12/30/2024 10:00,2612.69,2615.27,2612.4,2614.33,164,0.06,
12/30/2024 09:30,2616.3,2617.51,2612.13,2612.85,-345,-0.13,
12/30/2024 09:00,2612.08,2616.33,2611.32,2616.3,422,0.16,
12/30/2024 08:30,2615.01,2616.04,2609.43,2612.06,-295,-0.11,
12/30/2024 08:00,2616.97,2617.49,2614.65,2615.01,-196,-0.07,
12/30/2024 07:30,2619.03,2619.33,2615.77,2617.02,-201,-0.08,
12/30/2024 07:00,2619.13,2619.97,2616.92,2619.1,-3,0.00,
12/30/2024 06:30,2622.91,2622.91,2618.01,2619.16,-375,-0.14,
12/30/2024 06:00,2623.58,2624.56,2621.9,2622.99,-59,-0.02,
12/30/2024 05:30,2622.64,2623.92,2620.49,2623.62,98,0.04,
12/30/2024 05:00,2622.14,2624.25,2621.55,2622.64,50,0.02,
12/30/2024 04:30,2623.51,2623.8,2621.43,2622.14,-137,-0.05,
12/30/2024 04:00,2626.42,2626.42,2623.24,2623.43,-299,-0.11,
12/30/2024 03:30,2626.99,2628.08,2625.35,2626.42,-57,-0.02,
12/30/2024 03:00,2623.89,2627.99,2623.18,2627.21,332,0.13,
12/30/2024 02:30,2623.88,2625.34,2623.13,2623.98,10,0.00,
12/30/2024 02:00,2624.06,2624.44,2622.37,2623.84,-22,-0.01,
12/30/2024 01:30,2625.5,2626.8,2623.95,2624.03,-147,-0.06,
12/30/2024 01:00,2622.23,2626.25,2622.08,2625.44,321,0.12,
12/30/2024 00:30,2624.28,2624.37,2621.26,2622.34,-194,-0.07,
12/30/2024 00:00,2624.13,2625.22,2622.96,2624.28,15,0.01,
12/29/2024 23:30,2623.65,2626.02,2622.45,2624.06,41,0.02,
12/29/2024 23:00,2619.8,2626.01,2619.38,2623.65,385,0.15,
12/27/2024 21:00,2615.4,2615.8,2615.29,2615.38,-2,0.00,
12/27/2024 20:30,2613.06,2617.01,2612.79,2615.42,236,0.09,
12/27/2024 20:00,2620.5,2620.83,2612.95,2613.09,-741,-0.28,
12/27/2024 19:30,2618.53,2621.45,2618.38,2620.54,201,0.08,
12/27/2024 19:00,2618.54,2618.93,2617.35,2618.55,1,0.00,
12/27/2024 18:30,2616.96,2620.21,2616.93,2618.62,166,0.06,
12/27/2024 18:00,2615.92,2618.01,2615.15,2616.94,102,0.04,
12/27/2024 17:30,2615.96,2616.42,2614.04,2615.84,-12,0.00,
12/27/2024 17:00,2617.93,2618.32,2614.98,2616,-193,-0.07,
12/27/2024 16:30,2618.99,2619.62,2616.75,2617.88,-111,-0.04,
12/27/2024 16:00,2618.13,2619.46,2615.4,2618.97,84,0.03,
12/27/2024 15:30,2614.8,2619.4,2612.93,2618.11,331,0.13,
12/27/2024 15:00,2615.66,2618.34,2613.7,2614.88,-78,-0.03,
12/27/2024 14:30,2614.92,2618.33,2611.73,2615.58,66,0.03,
12/27/2024 14:00,2618.55,2619.43,2614.36,2615.2,-335,-0.13,
12/27/2024 13:30,2620.55,2622.67,2618.02,2618.79,-176,-0.07,
12/27/2024 13:00,2626.52,2627.23,2620.02,2620.64,-588,-0.22,
12/27/2024 12:30,2628.33,2629.76,2625.74,2626.37,-196,-0.07,
12/27/2024 12:00,2628.83,2631.63,2627.87,2628.21,-62,-0.02,
12/27/2024 11:30,2626.25,2628.92,2625.75,2628.74,249,0.09,
12/27/2024 11:00,2626.68,2627.4,2625.16,2626.27,-41,-0.02,
12/27/2024 10:30,2627.03,2628.13,2623.36,2626.57,-46,-0.02,
12/27/2024 10:00,2624.12,2627.22,2623.74,2627.22,310,0.12,
12/27/2024 09:30,2627.07,2627.07,2623.56,2624.12,-295,-0.11,
12/27/2024 09:00,2626.12,2627.72,2625.11,2627.08,96,0.04,
12/27/2024 08:30,2629.49,2629.96,2626.08,2626.19,-330,-0.13,
12/27/2024 08:00,2633.41,2633.42,2627.58,2629.39,-402,-0.15,
12/27/2024 07:30,2636.35,2638.24,2633.17,2633.59,-276,-0.10,
12/27/2024 07:00,2634.54,2637.63,2633.83,2636.54,200,0.08,
12/27/2024 06:30,2636.43,2636.98,2633.77,2634.65,-178,-0.07,
12/27/2024 06:00,2631.5,2637.03,2631.42,2636.77,527,0.20,
12/27/2024 05:30,2633.74,2634.21,2631.4,2631.52,-222,-0.08,
12/27/2024 05:00,2633.54,2634.31,2632.75,2633.63,9,0.00,
12/27/2024 04:30,2632.84,2634.13,2632.5,2633.61,77,0.03,
12/27/2024 04:00,2633.86,2633.89,2631.97,2632.88,-98,-0.04,
12/27/2024 03:30,2632.79,2635.5,2632.65,2633.87,108,0.04,
12/27/2024 03:00,2632.95,2633.48,2631.52,2632.76,-19,-0.01,
12/27/2024 02:30,2630.3,2633.6,2628.85,2632.99,269,0.10,
12/27/2024 02:00,2632.28,2632.28,2629.64,2630.02,-226,-0.09,
12/27/2024 01:30,2631.23,2633.6,2630.66,2632.26,103,0.04,
12/27/2024 01:00,2631.44,2633.87,2630.69,2631.22,-22,-0.01,
12/27/2024 00:30,2632.46,2632.93,2631.37,2631.41,-105,-0.04,
12/27/2024 00:00,2632.54,2634.01,2631.57,2632.46,-8,0.00,
12/26/2024 23:30,2632.43,2634.48,2631.45,2632.55,12,0.00,
12/26/2024 23:00,2632.68,2633.51,2631.54,2632.39,-29,-0.01,
12/26/2024 21:30,2634.06,2634.24,2633.14,2633.35,-71,-0.03,
12/26/2024 21:00,2634.43,2634.44,2633.19,2634.07,-36,-0.01,
12/26/2024 20:30,2635.46,2635.68,2633.59,2634.2,-126,-0.05,
